chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL,filename
0.41500527,0.0491914,1652.0059403681364,1276.594181925557,2822.4091453674123,0.1478181784145367,-191.49194,92.59907,-79.09658,-10.1795025,-29.040977,-10.899433,-11.597534,-7.3080773,-1.3485465,-2.2502038,-12.892857,-1.6108395,-17.136803,-3.9709306,-9.515587,-4.4062624,-5.727826,-1.8725611,-7.838714,-5.7844954,REAL,biden-original_seg0
0.37289292,0.056420933,1614.4038279536974,1310.0914633439054,2780.301517571885,0.1441131689297124,-181.04413,97.93415,-67.48953,-6.7895947,-22.005434,-3.635778,-15.657636,-10.590179,-6.5979977,-5.104004,-7.556842,-6.207316,-20.145237,-2.9069474,-9.880638,-3.5546837,-6.876341,-4.228423,-8.674695,-4.4634156,REAL,biden-original_seg1
0.3325705,0.042340014,1480.9703443860412,1282.2808991873248,2508.9357028754,0.1258455221645367,-228.03085,108.08439,-59.839443,-7.8500366,-20.26472,-4.07827,-10.000027,-5.4979615,-4.912599,-4.772872,-7.815227,-5.554065,-16.67251,-3.234413,-10.658647,-4.8525453,-6.763277,-5.932372,-9.93396,-7.0444818,REAL,biden-original_seg2
0.359474,0.04209368,1666.9020596410978,1372.3541635051188,2868.6601437699683,0.1427824855231629,-219.21855,97.78979,-53.969547,-4.610671,-20.625029,-5.9827323,-11.353513,-3.0363977,-5.7794266,-4.6131296,-9.206035,-0.275243,-10.766933,-4.00041,-10.847797,-7.9754434,-7.612059,-3.04975,-9.606004,-9.425226,REAL,biden-original_seg3
0.34433421,0.038809348,1479.6302904604506,1252.321351839722,2513.603234824281,0.1263416034345048,-259.00665,111.57609,-55.727036,2.9821784,-7.9126444,-11.156445,-19.176075,-8.7302885,-4.621729,-4.215902,-7.97191,-0.24976578,-8.738184,-6.0366273,-12.514621,-11.002544,-8.813317,-8.748111,-12.479807,-5.697981,REAL,biden-original_seg4
0.33016384,0.050714042,1639.445989210782,1367.9467269818767,2849.540734824281,0.1373786316892971,-210.13329,94.51566,-54.76806,-1.8284351,-19.931679,-10.917168,-15.456245,-8.0877495,-10.318381,-7.405718,-10.645607,0.048997387,-12.0521965,-4.1526475,-12.214483,-12.474217,-13.183908,-9.9798,-15.894219,-6.554186,REAL,biden-original_seg5
0.33118385,0.04303592,1764.1638551700894,1432.5976574060844,3148.6871006389774,0.1494515025958466,-211.51653,84.560616,-56.664158,-3.7004886,-23.715536,-5.7406325,-14.595375,-2.577795,-7.127578,-1.9973979,-7.1485896,-4.2649097,-11.225323,-1.3219866,-5.9026723,-6.404841,-9.662168,-6.1061134,-12.385517,-6.829897,REAL,biden-original_seg6
0.32412288,0.05376979,1484.0182971571562,1306.0107656563866,2491.463658146965,0.1225039936102236,-225.11789,107.102776,-47.107277,-9.571098,-16.008966,-9.831464,-17.80837,-10.483451,-16.864117,-1.9955368,-13.064407,2.288308,-12.732213,-6.343501,-12.790454,-10.984879,-12.20844,-12.230457,-16.791645,-10.915135,REAL,biden-original_seg7
0.3778998,0.039227586,1671.7981950969663,1351.0073241694554,2900.1597444089457,0.1517681085263578,-221.36511,93.87952,-65.06038,-7.7214932,-22.450563,-5.4720736,-10.406196,-4.9811926,-7.9655347,-3.4454038,-9.462331,0.045980826,-14.192721,-5.341121,-9.363286,-4.8550797,-8.611601,-4.732868,-8.274526,-3.1673784,REAL,biden-original_seg8
0.31836224,0.04239341,1730.9781013147815,1415.4251893970932,2994.8083067092653,0.144787090654952,-244.72618,91.13457,-47.407562,-1.5693889,-11.945178,-7.4343777,-18.590576,-7.415753,-10.844317,-3.534799,-8.544362,-4.83306,-14.710062,-3.803817,-13.227124,-12.4629,-12.706883,-10.676873,-13.291315,-4.7579365,REAL,biden-original_seg9
0.35100338,0.046677753,1730.0893722526066,1360.1862168394675,2898.8867811501595,0.1582452451078274,-212.82683,86.88733,-60.057438,-11.043399,-25.300484,-9.5096245,-14.417903,-4.9817424,-10.935776,-3.4471388,-8.548783,-2.4898863,-15.012766,-4.5851283,-10.862954,-6.290511,-12.618324,-9.169866,-9.322066,0.821213,REAL,biden-original_seg10
0.36894023,0.032533627,1313.8129565738689,1196.714648773306,2167.0327476038337,0.1119599266174121,-302.6244,126.782776,-46.83362,-4.1820188,-11.383734,-9.666103,-15.991442,-7.7775316,-7.1784363,-1.6082929,-8.042497,-4.2331166,-17.049688,-5.5599666,-9.043008,-8.355019,-6.4669585,-7.428943,-9.545602,-5.145136,REAL,biden-original_seg11
0.36226314,0.038287982,1652.0929712076718,1362.8843098089906,2817.417132587859,0.1477027381190095,-271.37595,100.46527,-42.23485,-5.301097,-10.356557,-2.3858635,-16.073666,-10.532593,-8.530576,1.4006842,-6.8338933,-3.6502316,-13.00235,-4.4522014,-9.000529,-9.545583,-7.4906235,-9.577735,-13.698487,-6.965219,REAL,biden-original_seg12
